file,realtime,fixture
frames/frame-00000.png,7.60910,45
frames/frame-00001.png,7.70555,45
frames/frame-00002.png,7.79201,45
frames/frame-00003.png,7.91571,45
frames/frame-00004.png,8.05052,45
frames/frame-00005.png,8.18797,45
frames/frame-00006.png,8.32454,45
frames/frame-00007.png,8.45809,45
frames/frame-00008.png,8.59856,45
frames/frame-00009.png,8.73897,45
frames/frame-00010.png,8.87291,45
frames/frame-00011.png,9.00505,45
frames/frame-00012.png,9.16709,45
frames/frame-00013.png,9.27010,45
frames/frame-00014.png,9.40170,45
frames/frame-00015.png,9.53723,45
frames/frame-00016.png,9.68154,45
frames/frame-00017.png,9.81953,45
frames/frame-00018.png,9.95217,45
frames/frame-00019.png,10.08024,45
frames/frame-00020.png,10.21335,45
frames/frame-00021.png,10.34283,45
frames/frame-00022.png,10.47632,45
frames/frame-00023.png,10.62452,45
frames/frame-00024.png,10.76417,45
frames/frame-00025.png,10.91259,45
frames/frame-00026.png,11.05020,45
frames/frame-00027.png,11.20218,45
frames/frame-00028.png,11.34708,45
frames/frame-00029.png,11.48496,45
frames/frame-00030.png,11.63147,45
frames/frame-00031.png,11.78480,45
frames/frame-00032.png,11.92361,45
frames/frame-00033.png,12.05978,45
frames/frame-00034.png,12.19801,45
frames/frame-00035.png,12.33648,45
frames/frame-00036.png,12.47451,45
frames/frame-00037.png,12.60957,45
frames/frame-00038.png,12.73757,45
frames/frame-00039.png,12.86969,45
frames/frame-00040.png,12.99802,45
frames/frame-00041.png,13.12879,45
frames/frame-00042.png,13.25917,45
frames/frame-00043.png,13.39709,45
frames/frame-00044.png,13.52600,45
frames/frame-00045.png,16.66294,95
frames/frame-00046.png,16.74964,95
frames/frame-00047.png,16.85198,95
frames/frame-00048.png,17.00623,95
frames/frame-00049.png,17.15192,95
frames/frame-00050.png,17.29461,95
frames/frame-00051.png,17.43925,95
frames/frame-00052.png,17.58076,95
frames/frame-00053.png,17.72087,95
frames/frame-00054.png,17.86329,95
frames/frame-00055.png,18.00822,95
frames/frame-00056.png,18.15177,95
frames/frame-00057.png,18.29496,95
frames/frame-00058.png,18.43101,95
frames/frame-00059.png,18.56969,95
frames/frame-00060.png,18.70832,95
frames/frame-00061.png,18.84800,95
frames/frame-00062.png,18.98803,95
frames/frame-00063.png,19.13515,95
frames/frame-00064.png,19.27536,95
frames/frame-00065.png,19.41637,95
frames/frame-00066.png,19.55919,95
frames/frame-00067.png,19.69723,95
frames/frame-00068.png,19.83592,95
frames/frame-00069.png,19.97338,95
frames/frame-00070.png,20.11263,95
frames/frame-00071.png,20.25015,95
frames/frame-00072.png,20.38883,95
