time,x,y,z,step,clear,rain,snow,supported,bodyClear
8.5714,0.0000,0.8000,-0.0026,0.00263,1.0000,0.0000,0.0000,True,True
8.5908,0.0000,0.8000,-0.0084,0.00574,1.0000,0.0000,0.0000,True,True
8.6088,0.0000,0.8000,-0.0160,0.00766,1.0000,0.0000,0.0000,True,True
8.6274,0.0000,0.8000,-0.0266,0.01061,1.0000,0.0000,0.0000,True,True
8.6461,0.0000,0.8000,-0.0398,0.01321,1.0000,0.0000,0.0000,True,True
8.6656,0.0000,0.8000,-0.0564,0.01656,1.0000,0.0000,0.0000,True,True
8.6839,0.0000,0.8000,-0.0741,0.01767,1.0000,0.0000,0.0000,True,True
8.7033,0.0000,0.8000,-0.0966,0.02251,1.0000,0.0000,0.0000,True,True
8.7242,0.0000,0.8000,-0.1233,0.02667,1.0000,0.0000,0.0000,True,True
8.7418,0.0000,0.8000,-0.1486,0.02536,1.0000,0.0000,0.0000,True,True
8.7609,0.0000,0.8000,-0.1785,0.02985,1.0000,0.0000,0.0000,True,True
8.7803,0.0000,0.8000,-0.2112,0.03276,1.0000,0.0000,0.0000,True,True
8.7993,0.0000,0.8000,-0.2470,0.03580,1.0000,0.0000,0.0000,True,True
8.8180,0.0000,0.8000,-0.2841,0.03709,1.0000,0.0000,0.0000,True,True
8.8367,0.0000,0.8000,-0.3239,0.03983,1.0000,0.0000,0.0000,True,True
8.8574,0.0000,0.8000,-0.3713,0.04731,1.0000,0.0000,0.0000,True,True
8.8751,0.0000,0.8000,-0.4145,0.04324,1.0000,0.0000,0.0000,True,True
8.8936,0.0000,0.8000,-0.4619,0.04738,1.0000,0.0000,0.0000,True,True
8.9129,0.0000,0.8000,-0.5126,0.05073,1.0000,0.0000,0.0000,True,True
8.9332,0.0000,0.8000,-0.5716,0.05894,1.0000,0.0000,0.0000,True,True
8.9519,0.0000,0.8000,-0.6281,0.05652,1.0000,0.0000,0.0000,True,True
8.9711,0.0000,0.8000,-0.6882,0.06013,1.0000,0.0000,0.0000,True,True
8.9907,0.0000,0.8000,-0.7528,0.06459,1.0000,0.0000,0.0000,True,True
9.0082,0.0000,0.8000,-0.8128,0.06005,1.0000,0.0000,0.0000,True,True
9.0273,0.0000,0.8000,-0.8804,0.06759,1.0000,0.0000,0.0000,True,True
9.0460,0.0000,0.8000,-0.9490,0.06860,1.0000,0.0000,0.0000,True,True
9.0656,0.0000,0.8000,-1.0258,0.07674,1.0000,0.0000,0.0000,True,True
9.0845,0.0000,0.8000,-1.1006,0.07478,1.0000,0.0000,0.0000,True,True
9.1032,0.0000,0.8000,-1.1783,0.07775,1.0000,0.0000,0.0000,True,True
9.1243,0.0000,0.8000,-1.2675,0.08917,1.0000,0.0000,0.0000,True,True
9.1411,0.0000,0.8000,-1.3428,0.07535,1.0000,0.0000,0.0000,True,True
9.1598,0.0000,0.8000,-1.4277,0.08492,1.0000,0.0000,0.0000,True,True
9.1802,0.0000,0.8000,-1.5213,0.09359,1.0000,0.0000,0.0000,True,True
9.1996,0.0000,0.8000,-1.6175,0.09619,1.0000,0.0000,0.0000,True,True
9.2184,0.0000,0.8000,-1.7124,0.09491,1.0000,0.0000,0.0000,True,True
9.2374,0.0000,0.8000,-1.8091,0.09664,1.0000,0.0000,0.0000,True,True
9.2576,0.0000,0.8000,-1.9155,0.10641,1.0000,0.0000,0.0000,True,True
9.2756,0.0000,0.8000,-2.0140,0.09846,1.0000,0.0000,0.0000,True,True
9.2946,0.0000,0.8000,-2.1168,0.10285,1.0000,0.0000,0.0000,True,True
9.3141,0.0000,0.8000,-2.2209,0.10414,1.0000,0.0000,0.0000,True,True
9.3332,0.0000,0.8000,-2.3247,0.10379,1.0000,0.0000,0.0000,True,True
9.3525,0.0000,0.8000,-2.4278,0.10302,1.0000,0.0000,0.0000,True,True
9.3717,0.0000,0.8000,-2.5309,0.10313,1.0000,0.0000,0.0000,True,True
9.3906,0.0000,0.8000,-2.6353,0.10446,1.0000,0.0000,0.0000,True,True
9.4096,0.0000,0.8000,-2.7379,0.10253,1.0000,0.0000,0.0000,True,True
9.4287,0.0000,0.8000,-2.8409,0.10301,1.0000,0.0000,0.0000,True,True
9.4491,0.0000,0.8000,-2.9506,0.10975,1.0000,0.0000,0.0000,True,True
9.4670,0.0000,0.8000,-3.0467,0.09605,1.0000,0.0000,0.0000,True,True
9.4861,0.0000,0.8000,-3.1503,0.10368,1.0000,0.0000,0.0000,True,True
